number,Date,Price_AAPL,High_AAPL,Low_AAPL,Vol._AAPL,Price_NASDAQ,High_NASDAQ,Low_NASDAQ
0,"Nov 23, 2018",0.742183119851641,0.7559051742615853,0.7489763916717485,0.012514594122085583,0.8527510675362082,0.8563597921285753,0.8535195582923093
1,"Nov 21, 2018",0.7615474188122655,0.7719380974836028,0.7681418242007144,0.01654760501530178,0.8569356836948387,0.861631820781123,0.8576179551701542
2,"Nov 20, 2018",0.7624099711044982,0.7770823509238222,0.763611812875686,0.03628784900063065,0.8489576192842005,0.8572200708287769,0.8423581817056957
3,"Nov 19, 2018",0.8007072928796308,0.8166502336348437,0.8049046084153673,0.0223551407015331,0.8640081503795335,0.8859842290598633,0.8651657729568935
4,"Nov 16, 2018",0.8337861732867555,0.8349552021262914,0.8243749455527486,0.01967184412057993,0.8916024677538033,0.8923472817199554,0.8854052375138411
5,"Nov 15, 2018",0.8246431189890887,0.8220945685257427,0.8132241484449866,0.02480721132460855,0.8930061442290157,0.8922720386849524,0.872862577444676
6,"Nov 14, 2018",0.8047612886531246,0.8328546319715351,0.8089990417283737,0.03250757345672267,0.8775807962971116,0.89369036989476,0.8765001256286165
7,"Nov 13, 2018",0.8281795833872427,0.844429202212029,0.8330429479919854,0.025022305238913415,0.8856921848174026,0.897896455551431,0.886814298177943
8,"Nov 12, 2018",0.8365463406219001,0.8558751661165173,0.8432354734732991,0.027313055426260214,0.8856909270427833,0.9044150104838629,0.8881917938630105
9,"Nov 09, 2018",0.8809677836718851,0.8822823337763107,0.8800853732903564,0.0182952430690288,0.9116048575255801,0.917363082757306,0.9078517254048839
10,"Nov 08, 2018",0.8983050847457628,0.8999014018090624,0.8996863838313442,0.013450252649311741,0.9272000050310986,0.9289743371088616,0.9268197526063202
11,"Nov 07, 2018",0.9046017164790614,0.8996441891370515,0.8882742399163691,0.017784395022554748,0.9322134946638913,0.9297267674588923,0.9187593195600599
12,"Nov 06, 2018",0.8779488506490706,0.8767522613280747,0.8776461364230335,0.016956283452481024,0.9077133028532618,0.9081207299577636,0.9042419544024939
13,"Nov 05, 2018",0.868547030663734,0.8753375916320143,0.8623137903998607,0.035389831908407846,0.9017879266214288,0.9016736559085846,0.8960337972543518
14,"Nov 02, 2018",0.8939491956699874,0.9150340806790415,0.8939367540726545,0.048924616466041404,0.9053273044003246,0.9163836692516829,0.9014377216650652
15,"Nov 01, 2018",0.9575192996075387,0.9523727868993013,0.9435055318407528,0.031173991188032518,0.915020973391778,0.9125400042136099,0.8998998758865023
16,"Oct 31, 2018",0.9430284210980291,0.9441848501736185,0.9426779336179111,0.020440804864219814,0.8989013338699838,0.9040889573321829,0.8978961310173897
17,"Oct 30, 2018",0.9190494673739595,0.9215930038153213,0.9106629497342975,0.019526655728424144,0.8807579349856299,0.8788010273182378,0.863913274588803
18,"Oct 29, 2018",0.9144779402251262,0.9409268229948129,0.8968115689519994,0.024516834540296985,0.8667513568243708,0.8949494366804779,0.8539829321845364
19,"Oct 26, 2018",0.9319877517574503,0.9430702619282376,0.9254726021430438,0.025226644457503035,0.8814572576739975,0.8934082085134986,0.8709232251327939
20,"Oct 25, 2018",0.9470824168715228,0.9481716465897886,0.9432441850335396,0.01587005918524146,0.9004660054964752,0.9036287207680809,0.8862688553402263
21,"Oct 24, 2018",0.9267693103894423,0.9603892485103099,0.9336179109678544,0.021822783263628565,0.8740602851375062,0.9125161772525255,0.8762261416105966
22,"Oct 23, 2018",0.959718807952732,0.9561881082007974,0.9343148357870895,0.0206612761263823,0.9154586789593173,0.9171423698546304,0.896570401897939
23,"Oct 22, 2018",0.9507482641135119,0.9566596647661508,0.9527833434968204,0.015294682964475947,0.9193691002509261,0.9231555424019583,0.9173540466934421
24,"Oct 19, 2018",0.9449691637555526,0.9476572212457667,0.9462061155152889,0.017601565195395612,0.9169038619969688,0.930975801839943,0.9178035319948941
25,"Oct 18, 2018",0.9307801785483245,0.9411411668881554,0.9269100095827163,0.017332697802514535,0.9214456861474993,0.9352358116716996,0.920853971568792
26,"Oct 17, 2018",0.9530771553025401,0.953573112702019,0.9545256555449082,0.012122047728479208,0.9412631830502293,0.9419612849503897,0.9348221060911571
27,"Oct 16, 2018",0.9572174063052572,0.9550735199554165,0.9432877428347417,0.015504399530923191,0.9416141021690324,0.9404125324799101,0.9260281029321339
28,"Oct 15, 2018",0.9365592789062838,0.950100741629871,0.9455091906960538,0.016370152536000267,0.9146033922181485,0.920697603258525,0.9142392145623136
29,"Oct 12, 2018",0.9570448958468107,0.954601963390063,0.9436362052443593,0.02150551974002889,0.9229235713252544,0.9226739869779387,0.9102317248240883
30,"Oct 11, 2018",0.9240091430542976,0.9401123162001115,0.923948079100967,0.02837777030206929,0.9018143398884355,0.9197294762081523,0.8983266773314208
31,"Oct 10, 2018",0.9322465174451201,0.969477429588031,0.940195138949386,0.022392782136536456,0.9135103860739195,0.945812474291963,0.9168262802439846
32,"Oct 09, 2018",0.9775736404019494,0.9734213572255327,0.9672009756947471,0.014272986871527844,0.9532522907220257,0.9581711427912156,0.9545009766204512
33,"Oct 08, 2018",0.9642040798723422,0.9628327688944143,0.9582716264482969,0.01576251222808903,0.9529919313758168,0.9578664084994531,0.9464064533968336
34,"Oct 05, 2018",0.9664467158321473,0.9783083979937411,0.9599268228939805,0.017870432588276693,0.9595952481274881,0.9710778313954072,0.9541247220703596
35,"Oct 04, 2018",0.9824039332384525,0.9951986967891284,0.9867148706333304,0.017042321018202966,0.9710485438114346,0.9829286094083891,0.9689211216425909
