date,tslaclose,tslavolume
2011-03-01,23.94,1106400.0
2011-03-02,24.02,663300.0
2011-03-03,24.36,640200.0
2011-03-04,24.95,1580100.0
2011-03-07,24.94,2033600.0
2011-03-08,24.66,1399900.0
2011-03-09,24.72,924800.0
2011-03-10,24.01,1017000.0
2011-03-11,24.07,930800.0
2011-03-14,23.25,1166000.0
2011-03-15,22.95,1318800.0
2011-03-16,22.82,1169700.0
2011-03-17,22.81,922600.0
2011-03-18,22.96,687900.0
2011-03-21,22.73,411700.0
2011-03-22,22.19,582900.0
2011-03-23,22.21,422800.0
2011-03-24,22.33,462200.0
2011-03-25,22.75,568000.0
2011-03-28,23.25,1058100.0
2011-03-29,23.92,755400.0
2011-03-30,23.71,1223300.0
2011-03-31,27.75,11517800.0
2011-04-01,26.66,2864800.0
2011-04-04,25.83,2609300.0
2011-04-05,26.7,3180900.0
2011-04-06,26.49,1288300.0
2011-04-07,27.24,2810300.0
2011-04-08,26.49,1946400.0
2011-04-11,25.27,1369400.0
2011-04-12,24.65,1357400.0
2011-04-13,24.93,1211500.0
2011-04-14,25.14,983400.0
2011-04-15,25.58,943500.0
2011-04-18,25.03,1033900.0
2011-04-19,25.16,548700.0
2011-04-20,25.75,837200.0
2011-04-21,26.74,1386100.0
2011-04-25,26.39,800900.0
2011-04-26,26.93,1400000.0
2011-04-27,27.08,996900.0
2011-04-28,27.66,1600000.0
2011-04-29,27.6,726000.0
2011-05-02,27.45,784600.0
2011-05-03,26.87,913900.0
2011-05-04,26.69,1044500.0
2011-05-05,26.44,1218500.0
2011-05-06,27.12,981700.0
2011-05-09,27.91,916400.0
2011-05-10,28.33,1535300.0
2011-05-11,27.07,962500.0
2011-05-12,27.67,628000.0
2011-05-13,27.55,661500.0
2011-05-16,26.6,755700.0
2011-05-17,25.96,1234200.0
2011-05-18,26.35,729500.0
2011-05-19,28.2,2655100.0
2011-05-20,27.97,842500.0
2011-05-23,26.82,863600.0
2011-05-24,26.72,613700.0
2011-05-25,28.98,4693100.0
2011-05-26,29.48,3336900.0
2011-05-27,29.55,1687100.0
2011-05-31,30.14,3290500.0
2011-06-01,28.517,1529900.0
2011-06-02,28.76,986300.0
2011-06-03,30.13,6209200.0
2011-06-06,28.7,2331100.0
2011-06-07,28.37,1222100.0
2011-06-08,27.12,1695900.0
2011-06-09,27.62,1603200.0
2011-06-10,27.86,1566600.0
2011-06-13,28.43,1713400.0
2011-06-14,28.6,1573400.0
2011-06-15,27.32,1345000.0
2011-06-16,26.5,1842200.0
2011-06-17,26.5,1714000.0
2011-06-20,26.01,1537800.0
2011-06-21,27.53,1496000.0
2011-06-22,27.21,1475600.0
2011-06-23,27.71,1170000.0
2011-06-24,27.565,3608500.0
2011-06-27,27.46,1809400.0
2011-06-28,28.11,889200.0
2011-06-29,28.29,1461800.0
2011-06-30,29.13,946700.0
2011-07-01,29.02,854900.0
2011-07-05,29.14,996000.0
2011-07-06,28.96,926900.0
2011-07-07,29.73,1327900.0
2011-07-08,28.81,1240600.0
2011-07-11,28.35,975800.0
2011-07-12,28.17,1045400.0
2011-07-13,28.64,1066000.0
2011-07-14,27.61,1159000.0
2011-07-15,27.58,709000.0
2011-07-18,27.23,851900.0
2011-07-19,27.89,1026100.0
2011-07-20,28.69,3048300.0
2011-07-21,28.7,1011500.0
2011-07-22,29.29,583500.0
2011-07-25,28.49,673300.0
2011-07-26,28.0,760600.0
2011-07-27,27.64,958500.0
2011-07-28,28.17,938700.0
2011-07-29,28.17,948200.0
2011-08-01,28.77,1164900.0
2011-08-02,27.34,1549400.0
2011-08-03,27.2,1794500.0
2011-08-04,24.75,3064500.0
2011-08-05,24.24,1964400.0
2011-08-08,23.64,2608500.0
2011-08-09,25.06,1333400.0
2011-08-10,23.82,1564200.0
2011-08-11,25.3,836500.0
2011-08-12,26.31,1009100.0
2011-08-15,26.23,738600.0
2011-08-16,26.1,537700.0
2011-08-17,25.83,643700.0
2011-08-18,24.26,1056600.0
2011-08-19,22.3,1375300.0
2011-08-22,21.95,986100.0
2011-08-23,22.96,869000.0
2011-08-24,23.87,684300.0
2011-08-25,23.11,679800.0
2011-08-26,23.73,761800.0
2011-08-29,24.71,803400.0
2011-08-30,24.63,366200.0
2011-08-31,24.74,823800.0
2011-09-01,24.0,848100.0
2011-09-02,23.07,769900.0
2011-09-06,22.94,809800.0
2011-09-07,23.84,459200.0
2011-09-08,23.61,505700.0
2011-09-09,22.97,669300.0
2011-09-12,22.88,566600.0
2011-09-13,24.08,726500.0
2011-09-14,24.34,830800.0
2011-09-15,24.82,562600.0
2011-09-16,25.8,1417100.0
2011-09-19,25.77,1157400.0
2011-09-20,26.01,1180400.0
2011-09-21,25.85,987600.0
2011-09-22,25.63,775800.0
2011-09-23,26.38,1156400.0
2011-09-26,25.52,934800.0
2011-09-27,26.19,674500.0
2011-09-28,24.59,723300.0
2011-09-29,24.12,929600.0
2011-09-30,24.39,1336100.0
2011-10-03,23.73,1023200.0
2011-10-04,23.66,1200300.0
2011-10-05,25.37,1229500.0
2011-10-06,26.96,1769100.0
2011-10-07,26.99,1311600.0
2011-10-10,27.88,923500.0
2011-10-11,27.61,575700.0
2011-10-12,27.8,1123400.0
2011-10-13,27.94,1043500.0
2011-10-14,28.05,1400500.0
2011-10-17,27.42,754500.0
2011-10-18,28.34,999700.0
2011-10-19,27.57,792900.0
2011-10-20,27.34,999700.0
2011-10-21,28.03,1142600.0
