date,CNYclose
2005-11-09,8.0867
2005-11-10,8.0846
2005-11-11,8.0847
2005-11-14,8.08
2005-11-15,8.0823
2005-11-16,8.08
2005-11-17,8.0845
2005-11-18,8.0832
2005-11-21,8.0833
2005-11-22,8.0839
2005-11-23,8.079
2005-11-24,8.0806
2005-11-25,8.0797
2005-11-28,8.0825
2005-11-29,8.078
2005-11-30,8.078
2005-12-01,8.0788
2005-12-02,8.0782
2005-12-06,8.078
2005-12-07,8.0771
2005-12-08,8.078
2005-12-09,8.076
2005-12-12,8.0749
2005-12-13,8.0753
2005-12-14,8.0746
2005-12-15,8.074
2005-12-16,8.0736
2005-12-19,8.073
2005-12-20,8.0728
2005-12-21,8.0759
2005-12-22,8.0758
2005-12-23,8.0758
2005-12-26,8.0738
2005-12-27,8.0724
2005-12-28,8.0715
2005-12-29,8.068
2005-12-30,8.0682
2006-01-02,8.0682
2006-01-03,8.0682
2006-01-04,8.067
2006-01-05,8.0637
2006-01-06,8.063
2006-01-10,8.062
2006-01-18,8.0695
2006-01-23,8.0634
2006-01-24,8.0622
2006-01-25,8.0628
2006-01-26,8.063
2006-01-27,8.0623
2006-01-30,8.062
2006-01-31,8.062
2006-02-01,8.062
2006-02-02,8.062
2006-02-03,8.062
2006-02-07,8.058
2006-02-08,8.0525
2006-02-09,8.0557
2006-02-13,8.0441
2006-02-14,8.045
2006-02-15,8.0481
2006-02-17,8.0465
2006-02-20,8.047
2006-02-21,8.0495
2006-02-22,8.0456
2006-02-23,8.0455
2006-02-24,8.0405
2006-02-27,8.0387
2006-02-28,8.0379
2006-03-01,8.0345
2006-03-02,8.0341
2006-03-03,8.0347
2006-03-06,8.0345
2006-03-07,8.0404
2006-03-08,8.0455
2006-03-09,8.0489
2006-03-10,8.05
2006-03-13,8.0485
2006-03-14,8.0473
2006-03-15,8.036
2006-03-16,8.0365
2006-03-17,8.0294
2006-03-20,8.029
2006-03-21,8.026
2006-03-22,8.0263
2006-03-23,8.0271
2006-03-24,8.0274
2006-03-27,8.0194
2006-03-28,8.0187
2006-03-29,8.0234
2006-03-30,8.0233
2006-03-31,8.0155
2006-04-03,8.0185
2006-04-04,8.0146
2006-04-05,8.0085
2006-04-06,8.0055
2006-04-07,8.0094
2006-04-10,8.0044
2006-04-11,8.0085
2006-04-12,8.0094
2006-04-13,8.016
2006-04-14,8.014
2006-04-17,8.0185
2006-04-18,8.0215
2006-04-19,8.011
2006-04-20,8.011
2006-04-21,8.0145
2006-04-24,8.0163
2006-04-25,8.0095
2006-04-26,8.0163
2006-04-27,8.0162
2006-04-28,8.0129
2006-05-08,8.0068
2006-05-09,8.0027
2006-05-10,8.0033
2006-05-11,8.0035
2006-05-12,8.0045
2006-05-15,8.0055
2006-05-16,8.0005
2006-05-17,7.9985
2006-05-18,8.0079
2006-05-19,8.0175
2006-05-22,8.0235
2006-05-23,8.0175
2006-05-24,8.0175
2006-05-25,8.0225
2006-05-26,8.0225
2006-05-29,8.0201
2006-05-30,8.03
2006-05-31,8.0215
2006-06-01,8.0184
2006-06-02,8.0205
2006-06-05,8.0057
2006-06-06,8.012
2006-06-07,8.016
2006-06-08,8.016
2006-06-09,8.0092
2006-06-12,8.015
2006-06-13,8.0205
2006-06-14,8.0
2006-06-15,8.0009
2006-06-16,7.9981
2006-06-19,8.0057
2006-06-20,8.0009
2006-06-21,7.9985
2006-06-22,7.9955
2006-06-23,7.9998
2006-06-26,8.0
2006-06-27,7.9968
2006-06-28,7.999
2006-06-29,7.995
2006-06-30,7.9925
2006-07-03,7.9982
