date,googlclose,googlvolume
2005-04-01,90.2987,12351600.0
2005-04-04,92.9319,16136600.0
2005-04-05,94.5769,17455900.0
2005-04-06,94.903,10494600.0
2005-04-07,97.18,19365000.0
2005-04-08,96.3223,10222900.0
2005-04-11,96.9142,10810100.0
2005-04-12,97.2778,14624500.0
2005-04-13,96.7637,13098400.0
2005-04-14,96.0214,12293000.0
2005-04-15,92.7864,23131600.0
2005-04-18,93.7745,13087400.0
2005-04-19,95.9963,16843100.0
2005-04-20,99.3567,30872000.0
2005-04-21,102.692,35468200.0
2005-04-22,108.2391,66343700.0
2005-04-25,112.1111,39640300.0
2005-04-26,109.7137,34509400.0
2005-04-27,110.2303,20509000.0
2005-04-28,110.0648,17348200.0
2005-04-29,110.3406,18322000.0
2005-05-02,111.4892,19515200.0
2005-05-03,113.4452,35524800.0
2005-05-04,114.6038,24142800.0
2005-05-05,113.8414,15004100.0
2005-05-06,114.363,13514200.0
2005-05-09,113.3599,11062500.0
2005-05-10,114.2527,12678900.0
2005-05-11,116.0031,22934600.0
2005-05-12,114.7141,17878500.0
2005-05-13,114.9749,14816100.0
2005-05-16,115.8827,11351400.0
2005-05-17,116.9259,15602100.0
2005-05-18,119.9503,24599300.0
2005-05-19,119.9603,19413500.0
2005-05-20,121.1791,16310600.0
2005-05-23,128.1205,42733800.0
2005-05-24,128.3963,58028100.0
2005-05-25,130.8088,36079600.0
2005-05-26,130.0013,27066100.0
2005-05-27,133.4118,24343800.0
2005-05-31,139.0643,44429100.0
2005-06-01,144.4459,70313000.0
2005-06-02,144.3957,35912200.0
2005-06-03,140.5639,37527000.0
2005-06-06,145.9204,45006700.0
2005-06-07,147.0138,48597300.0
2005-06-08,140.2128,51350300.0
2005-06-09,143.5983,32849300.0
2005-06-10,141.6874,25367800.0
2005-06-13,141.8128,25580700.0
2005-06-14,139.606,20163600.0
2005-06-15,137.8255,41724400.0
2005-06-16,139.1495,24899800.0
2005-06-17,140.584,20847900.0
2005-06-20,143.7939,42007300.0
2005-06-21,144.3656,30234300.0
2005-06-22,145.0979,20927000.0
2005-06-23,145.3035,28084600.0
2005-06-24,149.0852,35506800.0
2005-06-27,152.5208,35570100.0
2005-06-28,151.4676,38034900.0
2005-06-29,146.8132,36560800.0
2005-06-30,147.5304,30158600.0
2005-07-01,146.0759,18436700.0
2005-07-05,148.3128,14973000.0
2005-07-06,146.2138,15984500.0
2005-07-07,148.2276,21322800.0
2005-07-08,148.5736,14900200.0
2005-07-11,147.1292,16763800.0
2005-07-12,146.3437,11718000.0
2005-07-13,149.8927,22852900.0
2005-07-14,150.9108,21314000.0
2005-07-15,151.0613,16859900.0
2005-07-18,150.2338,12403100.0
2005-07-19,155.4298,25217500.0
2005-07-20,156.483,28592100.0
2005-07-21,157.4561,39539200.0
2005-07-22,151.6682,46726800.0
2005-07-25,148.383,19298200.0
2005-07-26,148.5034,19614100.0
2005-07-27,148.9247,14421300.0
2005-07-28,147.2044,11839300.0
2005-07-29,144.3255,16709800.0
2005-08-01,146.2564,11313400.0
2005-08-02,150.0582,14565800.0
2005-08-03,149.1103,11849300.0
2005-08-04,149.326,10462500.0
2005-08-05,146.6276,11867500.0
2005-08-08,146.0759,8954600.0
2005-08-09,146.2364,11547000.0
2005-08-10,143.2823,13744200.0
2005-08-11,142.4648,15014700.0
2005-08-12,145.3091,13158600.0
2005-08-15,142.4397,16333000.0
2005-08-16,143.2673,14204100.0
2005-08-17,142.9914,7758800.0
2005-08-18,140.4285,23721800.0
2005-08-19,140.4335,11074700.0
2005-08-22,137.4292,13612300.0
2005-08-23,140.2229,11631700.0
2005-08-24,141.7225,17169000.0
2005-08-25,141.7325,8744400.0
2005-08-26,142.229,7503000.0
2005-08-29,144.6716,11794100.0
2005-08-30,144.0798,9574400.0
2005-08-31,143.4428,10057900.0
2005-09-01,143.5682,5478700.0
2005-09-02,144.6716,6862100.0
2005-09-06,143.9995,8416100.0
2005-09-07,147.8915,14984000.0
2005-09-08,148.1523,13213300.0
2005-09-09,150.0081,8772200.0
2005-09-12,155.3495,20752200.0
2005-09-13,156.3226,20579200.0
2005-09-14,151.9691,22529000.0
2005-09-15,151.7785,30901400.0
2005-09-16,150.5648,15144400.0
2005-09-19,152.3653,11512200.0
2005-09-20,154.4317,18683200.0
2005-09-21,156.4329,20219100.0
2005-09-22,156.1671,25986700.0
2005-09-23,158.1683,16950600.0
2005-09-26,157.6266,19769000.0
2005-09-27,157.4561,13732400.0
2005-09-28,153.4738,15978800.0
2005-09-29,155.2894,11216300.0
2005-09-30,158.72,18284200.0
2005-10-03,159.8334,18302200.0
2005-10-04,155.9815,18270300.0
2005-10-05,155.8361,16640100.0
2005-10-06,156.8592,15971600.0
2005-10-07,156.9796,13527000.0
2005-10-10,155.806,11133200.0
2005-10-11,153.5239,17068100.0
2005-10-12,150.951,18593700.0
2005-10-13,149.1805,21114200.0
2005-10-14,148.5285,17021100.0
2005-10-17,152.9722,15118200.0
2005-10-18,152.1095,14141400.0
2005-10-19,154.8279,14007300.0
2005-10-20,152.0694,27795500.0
2005-10-21,170.4762,45739000.0
2005-10-24,174.8648,18844500.0
2005-10-25,173.9921,13742800.0
2005-10-26,178.2703,17797100.0
2005-10-27,177.0766,10258500.0
2005-10-28,179.6395,11795100.0
2005-10-31,186.6462,28657100.0
2005-11-01,190.2774,32679400.0
2005-11-02,190.4278,21109600.0
2005-11-03,193.5725,14881900.0
2005-11-04,195.8195,17632100.0
2005-11-07,198.1266,19163800.0
2005-11-08,195.5537,15779200.0
2005-11-09,190.162,20912800.0
2005-11-10,196.1555,18239100.0
2005-11-11,195.8044,14113600.0
2005-11-14,199.0996,15600100.0
2005-11-15,197.0081,17232500.0
2005-11-16,199.6914,17373000.0
2005-11-17,202.3496,18405900.0
2005-11-18,200.7246,14037100.0
2005-11-21,205.3138,20649500.0
2005-11-22,208.8798,19172800.0
2005-11-23,212.0847,20149800.0
2005-11-25,214.9736,9670500.0
2005-11-28,212.3956,21994700.0
2005-11-29,202.3948,42948600.0
2005-11-30,203.0831,31162000.0
2005-12-01,207.6862,19470300.0
2005-12-02,209.4967,15071900.0
2005-12-05,203.5533,20558200.0
2005-12-06,202.8963,30220300.0
2005-12-07,202.7358,23308400.0
2005-12-08,205.9608,17802100.0
2005-12-09,205.2335,15271500.0
2005-12-12,206.9448,13886200.0
2005-12-13,209.3914,16311200.0
2005-12-14,210.1286,13247500.0
2005-12-15,211.9192,12079500.0
2005-12-16,215.741,32628300.0
2005-12-19,212.9574,43829700.0
2005-12-20,215.5353,20149200.0
2005-12-21,213.8251,22421300.0
2005-12-22,216.6889,15078100.0
2005-12-23,216.1322,9181000.0
2005-12-27,212.9774,13392100.0
2005-12-28,214.0056,14221500.0
2005-12-29,210.7255,13877700.0
2005-12-30,208.0723,15159000.0
2006-01-03,218.2888,26216100.0
2006-01-04,223.3093,30542200.0
2006-01-05,226.3186,21594900.0
2006-01-06,233.5509,35478200.0
2006-01-09,234.1729,25558200.0
2006-01-10,235.6073,18176000.0
2006-01-11,236.5452,17996700.0
2006-01-12,232.5328,20230300.0
2006-01-13,233.8469,15297800.0
2006-01-17,234.2782,16524000.0
2006-01-18,223.1438,40930400.0
2006-01-19,218.8982,29045500.0
2006-01-20,200.3485,82151100.0
2006-01-23,214.4119,45437300.0
2006-01-24,222.2009,30898200.0
2006-01-25,217.1704,37442100.0
2006-01-26,217.8048,25826300.0
2006-01-27,217.4161,16887400.0
2006-01-30,214.0708,17160600.0
2006-01-31,216.9999,44087800.0
2006-02-01,201.512,54190700.0
2006-02-02,198.6332,23591700.0
2006-02-03,191.3682,36527000.0
2006-02-06,193.1462,17862900.0
2006-02-07,184.5296,33227100.0
2006-02-08,185.1114,41566500.0
2006-02-09,179.9405,23800900.0
2006-02-10,181.8664,30416500.0
2006-02-13,173.3852,39396100.0
2006-02-14,172.1915,29278600.0
2006-02-15,171.7201,25868100.0
2006-02-16,183.7974,42588300.0
2006-02-17,184.9459,28611700.0
2006-02-21,183.8626,17354600.0
2006-02-22,183.3109,12939400.0
2006-02-23,189.6203,25078000.0
2006-02-24,189.2843,12955600.0
2006-02-27,195.7919,20403900.0
2006-02-28,181.8714,78796300.0
2006-03-01,182.9648,24098200.0
2006-03-02,188.8078,36623900.0
2006-03-03,189.6755,23900000.0
2006-03-06,184.6199,17861500.0
2006-03-07,182.7893,20736800.0
2006-03-08,177.4879,23467700.0
2006-03-09,172.031,27792900.0
2006-03-10,169.2725,38612500.0
2006-03-13,169.0518,27257500.0
2006-03-14,176.1237,36864400.0
2006-03-15,172.7834,25512000.0
2006-03-16,169.9095,20013300.0
2006-03-17,170.4211,17086200.0
2006-03-20,174.6341,20794300.0
2006-03-21,170.4863,19642500.0
2006-03-22,170.6367,15176800.0
2006-03-23,171.4743,14854500.0
2006-03-24,183.4663,30330800.0
2006-03-27,185.4174,14033300.0
2006-03-28,189.184,17873700.0
2006-03-29,198.1015,38016900.0
2006-03-30,194.8214,29393900.0
2006-03-31,195.6038,72969700.0
2006-04-03,195.4533,16229100.0
2006-04-04,202.796,31399900.0
2006-04-05,204.6267,26794100.0
2006-04-06,206.2266,17179800.0
2006-04-07,203.7088,14037700.0
2006-04-10,208.8347,18621500.0
2006-04-11,205.4642,22192100.0
2006-04-12,205.1081,12021900.0
2006-04-13,201.7026,13092600.0
2006-04-17,204.0399,16502400.0
2006-04-18,202.7459,16258900.0
2006-04-19,205.8855,13549800.0
2006-04-20,208.1425,24518400.0
2006-04-21,219.2267,45057400.0
2006-04-24,220.932,17655100.0
2006-04-25,214.2413,19118800.0
2006-04-26,213.6445,14541000.0
2006-04-27,210.6653,16659100.0
2006-04-28,209.6171,14827700.0
2006-05-01,200.0676,20701600.0
2006-05-02,198.0112,26182300.0
2006-05-03,197.6953,16128200.0
2006-05-04,197.9862,9294600.0
2006-05-05,197.7605,12117800.0
2006-05-08,198.0012,10226900.0
2006-05-09,205.0329,18262900.0
2006-05-10,202.1139,12362000.0
2006-05-11,194.0992,17767800.0
2006-05-12,187.6442,20155000.0
2006-05-15,188.6824,17163000.0
2006-05-16,186.2249,12969200.0
2006-05-17,187.8298,21266300.0
2006-05-18,186.0694,11658300.0
2006-05-19,185.5829,22773600.0
2006-05-22,186.0493,17191500.0
2006-05-23,188.3715,17948000.0
2006-05-24,191.2153,19088400.0
2006-05-25,192.088,16372800.0
2006-05-26,191.2654,7326600.0
2006-05-30,186.5458,8623300.0
2006-05-31,186.4857,15946600.0
2006-06-01,191.9024,12543400.0
2006-06-02,190.3075,12760000.0
2006-06-05,187.7997,11105800.0
2006-06-06,195.5988,20499000.0
2006-06-07,193.8534,17804700.0
2006-06-08,197.2589,20698200.0
2006-06-09,194.7464,12302600.0
2006-06-12,191.3607,10028100.0
2006-06-13,193.8609,15302800.0
2006-06-14,192.7901,15528400.0
2006-06-15,196.1054,13557800.0
